thisRow.t,notes,Feature Type,Feature Number,Morph Level,Key,Response Time,participant,session,date,expName,psychopyVersion,frameRate,
,,app,1,99,right,0.20462679862976074,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.28745412826538086,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.2788856029510498,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.5424256324768066,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2210841178894043,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.49474287033081055,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.4641280174255371,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.2811737060546875,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,88,right,0.3529980182647705,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2553579807281494,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.2634460926055908,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.9133687019348145,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,1.8968334197998047,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.3141202926635742,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,33,left,0.808610200881958,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.4043850898742676,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2958405017852783,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.36735105514526367,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,0.21190142631530762,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.35899996757507324,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,22,left,0.2770199775695801,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,77,right,1.0042033195495605,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.3672666549682617,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.3875277042388916,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.2964925765991211,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.456040620803833,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.2736225128173828,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,66,right,0.2494816780090332,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.21785473823547363,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2693915367126465,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,55,right,0.4624156951904297,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.21501994132995605,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,99,right,0.26694440841674805,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,44,right,0.3621511459350586,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,0,left,0.3121609687805176,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,1,11,left,0.2798957824707031,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.06859588623046875,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,right,0.8617343902587891,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.27129268646240234,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,33,left,0.8230531215667725,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.27382946014404297,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,33,right,0.9542510509490967,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.22517108917236328,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.2503340244293213,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.2187802791595459,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.25436878204345703,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,right,0.6312716007232666,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,0,left,0.25675320625305176,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.2592442035675049,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.3165874481201172,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,right,0.5953857898712158,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,33,right,1.9842467308044434,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.26911234855651855,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.25318455696105957,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
